customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7109-AOXZW,Male,0,No,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.85,1450.78,No
6101-TQOCY,Female,1,No,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,86.22,175.76,No
1257-GIAAX,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.58,202.33,Yes
7303-WOAEA,Male,0,Yes,No,63,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,47.74,3015.58,Yes
9470-TSHLO,Male,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.47,3617.05,Yes
2798-WQWQW,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),40.03,271.06,No
5033-GFXLN,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.9,74.72,No
6799-PVBQY,Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),72.57,1458.7,No
7505-VAMFA,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.38,82.2,No
1256-PSDYB,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,74.94,0.0,No
7392-GLORP,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,101.55,5374.29,No
6094-OHIRB,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.48,94.62,Yes
6721-IEKZG,Male,0,No,No,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.89,155.99,Yes
1061-BMOWA,Male,0,No,Yes,2,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,42.12,65.44,Yes
3886-HGUZM,Female,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.95,1457.74,No
6886-VUZSN,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,95.47,480.57,Yes
5709-BOCCD,Female,0,Yes,Yes,59,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),63.0,3731.74,No
3731-EHZZO,Female,0,No,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.61,6191.49,No
6579-FYRQR,Female,1,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.09,1583.34,No
8946-XWADN,Male,0,No,No,64,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.85,3236.4,No
3225-ZEDMQ,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),78.47,316.61,No
8466-PAOHU,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),49.16,2862.51,No
7816-RTYBI,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,90.12,1001.85,No
9463-MSFXJ,Female,1,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,99.54,5580.54,No
5467-FMRKV,Female,0,No,No,54,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,64.88,3522.03,No
1823-WVZNT,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,78.39,4151.83,No
9950-UINLO,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),75.69,1595.81,Yes
8889-GZVIB,Female,0,No,Yes,2,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,64.57,114.02,Yes
2276-LRIKE,Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),72.66,284.86,No
9209-ZSNBR,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),97.75,1646.46,Yes
2312-ILRPG,Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,97.61,6542.59,No
5222-UCGFC,Male,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.39,1768.29,No
4513-CJSVW,Female,0,Yes,Yes,58,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,58.14,3366.44,No
3240-YKADV,Female,0,No,No,60,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,65.28,3924.64,No
4628-AAAHX,Female,0,Yes,Yes,55,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),115.0,6315.06,No
4895-MEKPI,Male,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.93,4605.77,No
8387-KHXUZ,Female,1,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.82,1343.53,No
3369-BUPWB,Male,0,No,Yes,51,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),53.9,2729.3,Yes
6241-LGSNG,Male,1,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.33,206.29,No
2699-VSCRM,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,74.72,5169.25,No
7650-CVTIJ,Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.21,24.43,Yes
4179-XRRBY,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,84.32,159.28,Yes
1235-PGYCE,Female,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.05,6838.05,Yes
3128-TXSGS,Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.36,180.16,Yes
7158-MEDKC,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.09,4924.97,No
2927-AIPPD,Female,0,No,Yes,64,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),41.61,2675.19,Yes
7639-DSRNZ,Female,1,No,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.02,1864.21,No
8781-DOUDM,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),43.36,3045.65,No
3184-WIQRR,Female,0,No,No,63,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.26,4787.34,Yes
5250-VIBMV,Female,0,No,Yes,50,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.71,3167.09,Yes
1209-OQQFH,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.08,1302.46,No
1042-RSYVC,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.06,86.72,No
6332-MHQFM,Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.73,1344.63,No
7689-HMOAR,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),55.64,399.03,No
4978-QLDAA,Male,0,No,Yes,57,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.92,2828.31,No
4630-OEXXH,Female,0,No,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.48,5713.9,No
3656-OQBEH,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,97.98,310.89,No
8412-JTMTF,Male,0,Yes,No,65,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,68.84,4473.01,No
